source,target
3036907250,19659370
3036907250,436609034
436609034,3036907250
3036907250,889657085868298240
3036907250,1038481676
3036907250,200630242
3036907250,94732055
94732055,3036907250
3036907250,755733488851189760
3036907250,928760788306878464
3036907250,14293310
3036907250,119711344
3036907250,84351228
3036907250,2360762586
20356196,3036907250
3036907250,3026571023
3036907250,26240101
3036907250,51023058
51023058,3036907250
3036907250,130671142
130671142,3036907250
3036907250,119512412
3036907250,1264438328
1264438328,3036907250
3036907250,57320656
3036907250,569382995
569382995,3036907250
3036907250,108434901
3036907250,4863093417
3036907250,19722699
3036907250,56510427
3036907250,296312612
3293206151,3036907250
3036907250,200163448
3036907250,39697728
39697728,3036907250
3036907250,52059998
3036907250,30339571
3036907250,810893744593584128
810893744593584128,3036907250
3036907250,1652541
3270447613,3036907250
3036907250,308456550
308456550,3036907250
3036907250,25134469
3036907250,59263220
3036907250,127894322
3036907250,305474242
3036907250,1367458171
1367458171,3036907250
3036907250,22597445
3036907250,972651
3036907250,4833032980
3036907250,19411223
408717162,3036907250
3036907250,514667085
514667085,3036907250
3036907250,1350732349
3036907250,20581429
3036907250,14511951
3036907250,46131106
3036907250,22843337
3036907250,431210487
3036907250,608052226
3036907250,1556357336
1556357336,3036907250
3036907250,296459271
3036907250,934851466082357249
934851466082357249,3036907250
3036907250,23818581
954235769618538496,3036907250
3036907250,13056322
3036907250,15521075
1734817550,3036907250
3036907250,570072860
3036907250,854581958
3036907250,720389270335135745
3036907250,192854350
3036907250,4053818032
4053818032,3036907250
3036907250,262236415
3036907250,3761306416
3036907250,1189744336415723520
3036907250,29866761
3051698888,3036907250
3036907250,93781753
116897811,3036907250
3036907250,735809541456027648
735809541456027648,3036907250
3036907250,237670274
3036907250,338989477
338989477,3036907250
3036907250,18417153
824668943285702661,3036907250
3036907250,2645602164
3036907250,31311757
3036907250,57047586
3036907250,870362407
3036907250,1156797119149121541
1156797119149121541,3036907250
3036907250,333597222
3036907250,115763683
3036907250,229601276
3035211041,3036907250
3036907250,822183485523841025
822183485523841025,3036907250
3036907250,381187236
3036907250,207450631
3036907250,813286
3036907250,69870134
3036907250,14199378
3036907250,114870386
3036907250,18932422
18932422,3036907250
3036907250,230815459
3033312071,3036907250
3036907250,2336440088
2309104237,3036907250
3036907250,40576466
3036907250,33838201
3037264899,3036907250
3081160595,3036907250
3036907250,1187585868493537280
1187585868493537280,3036907250
3036907250,1053724531
3036907250,2273201773
49043059,3036907250
3036907250,487736815
3201975988,3036907250
3036907250,270044784
270044784,3036907250
2969887354,3036907250
3036907250,2097571
3036907250,862356144748204032
3036907250,1527607790
1527607790,3036907250
3036907250,15750573
15750573,3036907250
3036907250,562439654
3036907250,12353582
3036907250,95196023
3036907250,50393960
3036907250,755953153
3036907250,1344951
3036907250,3697013177
3036907250,271243941
3036907250,3107101390
3036907250,59217922
59217922,3036907250
3036907250,21457289
3036907250,62513246
3036907250,3415864408
3036907250,403274895
3036907250,132646210
132646210,3036907250
3036907250,2659265263
3036907250,2910644884
184125091,3036907250
3038714572,3036907250
3036907250,831114368435748864
579133028,3036907250
3036907250,2460368252
3036907250,1636590253
3036907250,1579422614
3036907250,783214
3036907250,1121364987178618880
3036907250,58160853
3036907250,717768811005526016
1019673422,3036907250
707112185076391936,3036907250
3036907250,85648537
3036907250,781332157
3036907250,11892372
3036907250,2208838112
2208838112,3036907250
3036907250,125483940
125483940,3036907250
3036907250,117483950
3036907250,6778812
3036907250,477554560
3036907250,406303880
406303880,3036907250
3036907250,688583
3036907250,117662694
3036907250,48008938
3036907250,11348282
3036907250,1131186925212241920
3036907250,720605133483208705
788839271239184385,3036907250
3036907250,76679840
3036907250,804701761017671680
3036907250,1070321898951753728
3036907250,3074437553
3036907250,124087958
3036907250,325476794
3036907250,830589635738816512
3036907250,2251623492
696907754275930112,3036907250
3036907250,40030538
3036907250,771681197781053440
50414506,3036907250
3036907250,2347049341
3036851230,3036907250
3036907250,391867472
391867472,3036907250
3036907250,838464523
3036907250,2769983813
1978351027,3036907250
3036907250,15492359
2798157850,3036907250
3036907250,2413882279
3036907250,15159648
2444133930,3036907250
3036907250,3041372326
3036907250,269301403
3036907250,20536157
3036907250,17157367
3036907250,2382305514
2382305514,3036907250
3036907250,2385273733
3036907250,3356531254
118412527,3036907250
3102522680,3036907250
3036907250,133790890
3036907250,544737616
911963260005552128,3036907250
3036907250,3395161438
3036907250,1483247714
1483247714,3036907250
3053756746,3036907250
3036907250,78969930
78969930,3036907250
3036907250,117079124
3036907250,966411199649808386
894723591446687745,3036907250
3036907250,275686563
18874262,3036907250
3036907250,249661913
249661913,3036907250
2877269332,3036907250
3036907250,1195040516318093312
3036907250,3034892963
3036907250,824812182114164736
824812182114164736,3036907250
3036907250,15455450
15455450,3036907250
3036907250,2190533245
2190533245,3036907250
3036907250,3511430425
3036907250,1603439773
1477918760,3036907250
3036907250,263265080
263265080,3036907250
3036907250,3003392104
3036907250,718108213078568960
3036907250,1339637532
2827812417,3036907250
3036907250,15254807
3036907250,2165646554
3036907250,5893702
3036907250,14677919
3036907250,829903626
829903626,3036907250
3036907250,910827588
3036907250,180463340
3036907250,1265795638551212032
1265795638551212032,3036907250
3036907250,2979365176
3036907250,2601589496
2601589496,3036907250
1195044761322823680,3036907250
3036907250,59504716
3036907250,573918122
3036907250,1111315973125169152
1111315973125169152,3036907250
3036907250,375007888
4645255754,3036907250
3036907250,3092629269
3036907250,44973000
3036907250,382158989
3036907250,799830497065050112
3036907250,717348489215262724
3036907250,776732741098467328
3036907250,3304471
3036907250,154221292
3036907250,17043428
3036907250,4027105402
3036907250,2271904531
3036907250,19341622
3036907250,393675585
393675585,3036907250
3036907250,193935341
3036907250,341000847
341000847,3036907250
3036907250,3128829965
3036907250,395990396
3036907250,281448138
350164545,3036907250
3083042302,3036907250
3036907250,337886919
157920406,3036907250
3036907250,44196397
3036907250,4742002531
3240349167,3036907250
3036907250,319135326
3036907250,1039052508193284096
3036907250,245548093
3036907250,2196922086
3036907250,2898184305
3036907250,16868154
16868154,3036907250
3036907250,458399248
458399248,3036907250
854719703545253888,3036907250
3036907250,2676313880
3036907250,2424287186
3036907250,920700510306529280
3036907250,762093631
3036907250,216939636
3036907250,87818409
3036907250,73147282
701026341500690432,3036907250
3036907250,14451127
14451127,3036907250
73509664,3036907250
4663308149,3036907250
3036907250,485865743
3036907250,1891806212
3036907250,16134540
3036907250,742143
3036907250,80422885
3036907250,87476034
3036907250,951237270044069888
3036907250,190161488
3036907250,1734575215
3036907250,21769127
3036907250,153327232
3036907250,571202103
3036907250,2835276183
3036907250,947311503216066560
947311503216066560,3036907250
343587148,3036907250
3036907250,48677032
48677032,3036907250
839139788846411777,3036907250
3036907250,41667342
3036907250,109598348
3036907250,1479360883
1479360883,3036907250
3015605477,3036907250
2417892751,3036907250
3036907250,166739404
3036907250,2322434384
3077138539,3036907250
3036907250,15378449
3036907250,301941645
3036907250,817845968
3036907250,271485168
271485168,3036907250
