source,target
15750573,228130177
1089302341,15750573
2754814433,15750573
838141984053284864,15750573
15750573,404376053
1280804221,15750573
15750573,19659370
15750573,15962096
705504146808565760,15750573
390380093,15750573
15750573,561642136
15750573,577243493
577243493,15750573
464907377,15750573
58558979,15750573
2381066016,15750573
15750573,399935607
15750573,2754412213
2754412213,15750573
15750573,51023058
51023058,15750573
2872651869,15750573
55612967,15750573
79128388,15750573
2176025565,15750573
30030112,15750573
1351611290,15750573
2560958309,15750573
26212951,15750573
2544161559,15750573
46092394,15750573
15750573,456853606
15750573,897568340075479040
897568340075479040,15750573
809193212,15750573
15750573,450594910
450594910,15750573
15750573,196476038
15750573,414978578
3293206151,15750573
714783310954774529,15750573
15750573,1048018930785083392
15750573,896676717603028992
896676717603028992,15750573
714365137365426176,15750573
852962413,15750573
15750573,52059998
52059998,15750573
71502653,15750573
15750573,122127763
3242397351,15750573
15750573,73926321
73926321,15750573
16079826,15750573
102609059,15750573
68351679,15750573
15750573,546315483
3237012607,15750573
43526978,15750573
15750573,110509537
136142062,15750573
15750573,58324434
15750573,299659731
299659731,15750573
15750573,780874432927719424
780874432927719424,15750573
36049907,15750573
943676329,15750573
15750573,394665897
394665897,15750573
15750573,117652722
15750573,9507112
15750573,42909798
15750573,20887537
15750573,65184105
15750573,341258707
15750573,417189950
417189950,15750573
15750573,1043021486
1043021486,15750573
15750573,1556357336
1556357336,15750573
65423884,15750573
2900424513,15750573
15750573,1023096199
61187211,15750573
15750573,3036907250
3036907250,15750573
419946721,15750573
15750573,192931240
838131126002728960,15750573
15750573,474233138
18238570,15750573
15750573,2544647385
2544647385,15750573
15750573,388212968
15750573,142837256
253973566,15750573
15750573,1095972841
3988215194,15750573
15750573,1620225060
1620225060,15750573
15750573,461578921
2572511777,15750573
15750573,262236415
262236415,15750573
948483885209477121,15750573
39618125,15750573
32246103,15750573
147299961,15750573
15750573,8762122
8762122,15750573
15750573,293483941
293483941,15750573
40903402,15750573
1972411447,15750573
93781753,15750573
15750573,150346051
150346051,15750573
15750573,555461978
555461978,15750573
15750573,29716049
15750573,175529610
36347948,15750573
15750573,483172916
104633187,15750573
15750573,343998886
343998886,15750573
2607919231,15750573
409166947,15750573
15750573,1401748656
1401748656,15750573
146116918,15750573
884047713372975104,15750573
15750573,476514758
476514758,15750573
15750573,50956443
15750573,234070123
234070123,15750573
15750573,73909361
33677856,15750573
15750573,2785709353
2785709353,15750573
717756832240902144,15750573
720750427147341824,15750573
15750573,38190507
7170002,15750573
15750573,1578022897
1578022897,15750573
813286,15750573
15750573,377571301
377571301,15750573
3165380261,15750573
37139722,15750573
197623145,15750573
706431707885477888,15750573
14183423,15750573
15750573,579842788
406260699,15750573
15750573,2147987488
2147987488,15750573
15750573,216744325
15750573,96127287
96127287,15750573
15750573,182486010
15750573,78577226
15750573,586366163
586366163,15750573
15750573,616572834
616572834,15750573
15750573,174991185
174991185,15750573
3025618094,15750573
15750573,1193486898
62952214,15750573
449616976,15750573
95745203,15750573
15750573,452570555
15750573,533315563
15750573,224466293
903217429555359744,15750573
176870844,15750573
1064203950717583360,15750573
15750573,406869976
15750573,857570979022876672
857570979022876672,15750573
5894962,15750573
27007409,15750573
15750573,271310204
15750573,115180931
5869132,15750573
28316908,15750573
15750573,506166021
15657398,15750573
1023655925742268426,15750573
17955611,15750573
37105355,15750573
15750573,16362818
16611773,15750573
43961874,15750573
14359747,15750573
15750573,17922590
780788089966829568,15750573
832361946154401792,15750573
4928034543,15750573
1284129738,15750573
2636910597,15750573
15750573,623111545
24932781,15750573
15750573,540259669
15750573,248916795
1728885823,15750573
15750573,31422403
12243,15750573
15750573,188233241
6979832,15750573
15750573,203866616
203866616,15750573
15750573,456673160
107751300,15750573
15750573,354847710
15750573,36094947
15750573,132646210
132646210,15750573
15750573,577430083
824249522389970944,15750573
469115517,15750573
15750573,1934192923
1934192923,15750573
15750573,1725341478
1035807940719112192,15750573
744114034660773888,15750573
15750573,115512512
15750573,705427898749079552
15750573,544360896
544360896,15750573
918798040282091520,15750573
184817606,15750573
15750573,66815732
15750573,204387286
15750573,128213903
43926213,15750573
114782375,15750573
83566575,15750573
20605844,15750573
15750573,3226059106
3226059106,15750573
15750573,59414975
628623778,15750573
15750573,253046215
806101991109890048,15750573
15750573,385339360
33168385,15750573
487786548,15750573
925220088,15750573
65468350,15750573
2735046987,15750573
828683626372009985,15750573
24888653,15750573
25860326,15750573
122408887,15750573
3319270312,15750573
420316063,15750573
15750573,945020688
945020688,15750573
33105342,15750573
39721490,15750573
15750573,72018889
15750573,778856886
778856886,15750573
84854764,15750573
636089336,15750573
47567281,15750573
15750573,294119630
294119630,15750573
15750573,93618186
15750573,482995387
482995387,15750573
441676899,15750573
3892691301,15750573
15750573,316386106
15750573,24160034
85700509,15750573
54541583,15750573
65587580,15750573
15637569,15750573
15750573,8943
920563781616496641,15750573
15750573,752743856941125632
1497795582,15750573
121492869,15750573
15750573,485140375
85813091,15750573
789736108896751616,15750573
15750573,132539757
882605036,15750573
15750573,304540433
304540433,15750573
15750573,334678478
43839644,15750573
15750573,391015835
788839271239184385,15750573
15750573,220020080
220020080,15750573
959849838212014081,15750573
3512256616,15750573
123678691,15750573
15750573,334170116
4385501957,15750573
3197088767,15750573
15750573,579115459
579115459,15750573
520133735,15750573
15750573,13533662
37048037,15750573
14125868,15750573
15750573,731124359117590528
731124359117590528,15750573
59913797,15750573
15750573,194989299
194989299,15750573
15750573,1037384052
1037384052,15750573
1079473267,15750573
1004615060,15750573
19395637,15750573
46394850,15750573
2328843320,15750573
15750573,934228950
934228950,15750573
1009253378,15750573
803003521,15750573
852054291049316352,15750573
1218287414965350401,15750573
15750573,944443345
944443345,15750573
17917382,15750573
15750573,3030560968
3030560968,15750573
712614852263542784,15750573
44652450,15750573
369085369,15750573
15750573,16310134
898161154169679873,15750573
15750573,375820392
375820392,15750573
15750573,860098587287588864
860098587287588864,15750573
859698369765179392,15750573
15750573,370102769
370102769,15750573
899166691652972544,15750573
26329801,15750573
844218954088435712,15750573
15750573,1653261366
1653261366,15750573
15750573,2328954662
2328954662,15750573
15750573,566703294
566703294,15750573
1523858262,15750573
15750573,346742249
4707064313,15750573
15750573,517818047
517818047,15750573
95267165,15750573
1084900963306098689,15750573
34690221,15750573
15750573,251149608
15750573,1582911193
1582911193,15750573
85428593,15750573
16113777,15750573
15750573,1629889939
1629889939,15750573
15750573,851254609
851254609,15750573
15750573,277667306
277667306,15750573
15750573,314430404
14957053,15750573
866900373302378503,15750573
403677666,15750573
15750573,150732625
150732625,15750573
2881046435,15750573
16136478,15750573
15750573,90830802
119406189,15750573
15750573,15578992
20460664,15750573
39889364,15750573
15750573,1109067043
1109067043,15750573
15750573,718108213078568960
2803495736,15750573
15750573,14749606
15750573,188723124
15750573,904174368
904174368,15750573
15750573,1935675295
15750573,563979425
563979425,15750573
2895307672,15750573
15750573,624208322
624208322,15750573
15750573,348506984
6107292,15750573
790342394675888128,15750573
15750573,32338210
16739331,15750573
63051202,15750573
15750573,376297519
15750573,182799181
15750573,131526573
15750573,527454176
527454176,15750573
15750573,960887748
960887748,15750573
1202308734,15750573
15750573,485018563
796368494342316032,15750573
19710651,15750573
15750573,1111315973125169152
67383602,15750573
787338664477134848,15750573
15750573,3092629269
436038865,15750573
15750573,2388819163
256353770,15750573
4739335047,15750573
15750573,315707871
315707871,15750573
1904734980,15750573
1269448278,15750573
15750573,748179418397421568
748179418397421568,15750573
15750573,469631198
469631198,15750573
15750573,490382218
15750573,106505501
106505501,15750573
15750573,509162767
15750573,258465487
384759698,15750573
15750573,20384956
15750573,822933216206188544
822933216206188544,15750573
2714310207,15750573
348011201,15750573
42614814,15750573
1677808003,15750573
66821479,15750573
52671862,15750573
15750573,59273937
202626872,15750573
15750573,44196397
79764713,15750573
15750573,14583400
436837074,15750573
15750573,540985738
540985738,15750573
436122215,15750573
15750573,377344523
377344523,15750573
15750573,479798490
479798490,15750573
1320653768346816512,15750573
737882640,15750573
15750573,398537509
398537509,15750573
739565869433524225,15750573
3007913925,15750573
15750573,358026989
358026989,15750573
15750573,551653007
15750573,616564407
616564407,15750573
2987533553,15750573
15750573,700064764
700064764,15750573
39781270,15750573
15750573,52352322
12486432,15750573
15750573,19081001
4854858064,15750573
15750573,20747847
15750573,246318475
26549850,15750573
14616323,15750573
848152044137574401,15750573
15750573,791230655367700480
15750573,1074807847
1074807847,15750573
15750573,73343
73343,15750573
130667410,15750573
46508246,15750573
15750573,186404598
15862919,15750573
1605423500,15750573
713395522095210496,15750573
2797743527,15750573
15750573,2887723143
16684149,15750573
15750573,372843212
2321117354,15750573
780174132,15750573
15750573,1877046548
1877046548,15750573
50607971,15750573
1037864733360226304,15750573
2525616956,15750573
15750573,2244880545
2244880545,15750573
15750573,190161488
190161488,15750573
38277726,15750573
15750573,26280712
15750573,333410580
40380303,15750573
151581782,15750573
15750573,571202103
1377476875,15750573
4718039356,15750573
52414554,15750573
839446682819563520,15750573
15750573,41667342
334516778,15750573
15750573,772871943577931776
15750573,537014740
15750573,433226744
