source,target
19659370,27493489
27493489,19659370
1894582058,19659370
19659370,16042588
16042588,19659370
19659370,3620548396
19659370,2587163612
19659370,44953355
769507902897856512,19659370
19659370,197481317
197481317,19659370
287275780,19659370
2372636521,19659370
1853174220,19659370
631705640,19659370
19659370,5848122
3079899620,19659370
19659370,2230151202
19659370,15518172
15518172,19659370
19659370,200630242
19659370,27131901
94732055,19659370
143187995,19659370
19659370,373974821
373974821,19659370
19659370,755733488851189760
19659370,252988497
19659370,1580058000
1640671358,19659370
19659370,1934999587
1934999587,19659370
427218827,19659370
101045085,19659370
19659370,3384319941
3384319941,19659370
1190682302977859584,19659370
19659370,84351228
404100683,19659370
19659370,841854020058677252
19659370,512785206
512785206,19659370
1065173952664952837,19659370
3332231,19659370
512594470,19659370
19659370,17705769
17705769,19659370
19659370,2394417954
2394417954,19659370
19659370,5943622
19659370,14622066
1206594224537448449,19659370
64732883,19659370
19659370,1121934716
1121934716,19659370
19659370,2903681001
19659370,130671142
130671142,19659370
19659370,15333148
15333148,19659370
298982411,19659370
1061582051449557003,19659370
19659370,119512412
119512412,19659370
1425336134,19659370
19659370,108334890
17600799,19659370
911454651417088000,19659370
19659370,897060827316072448
19659370,8220532
19659370,1264438328
19659370,57320656
3435577992,19659370
400804254,19659370
19659370,4728720725
19659370,310741473
310741473,19659370
583637312,19659370
3405424143,19659370
1228726773078208512,19659370
19659370,781676758932262912
879077538525396992,19659370
19659370,2807461219
2807461219,19659370
19659370,787149253302812672
19659370,114407120
114407120,19659370
19659370,2922679556
19659370,1246421
1246421,19659370
19659370,1026754771087110144
19659370,61111487
19659370,186764685
186764685,19659370
19659370,709543955126333440
19659370,11939852
11939852,19659370
201275909,19659370
19659370,288995692
19659370,39697728
39697728,19659370
19659370,262191481
262191481,19659370
19659370,1057715900
19659370,6355402
6355402,19659370
19659370,349172730
19659370,30339571
30339571,19659370
19659370,33864359
373580725,19659370
19659370,114773847
810893744593584128,19659370
250055606,19659370
19659370,61302699
61302699,19659370
21324520,19659370
1140577345973170177,19659370
19659370,40090727
80269062,19659370
19659370,2606773789
2606773789,19659370
19659370,16976682
2274780686,19659370
19659370,25134469
25134469,19659370
3239238377,19659370
2209063952,19659370
19659370,14998112
1494913634,19659370
19659370,8719472
19659370,12035282
1301154075434606598,19659370
19659370,59263220
19659370,167169119
19659370,127894322
19659370,305474242
305474242,19659370
2278288488,19659370
390324658,19659370
338526004,19659370
19659370,5763912
5763912,19659370
19659370,600067712
600067712,19659370
19659370,33970089
19659370,39321347
19659370,1303427371
1303427371,19659370
19659370,153004670
1214864022572425217,19659370
7990062,19659370
4531194259,19659370
19659370,2232721860
19659370,489677804
19659370,266717381
19659370,109640788
19659370,91440853
91440853,19659370
19659370,2312790332
19659370,45321027
3439304543,19659370
2813275219,19659370
188756842,19659370
19659370,1562518867
19659370,2810375782
917284226269052928,19659370
19659370,388752038
19659370,2444229696
19659370,3361359683
3361359683,19659370
918158086858211329,19659370
22752868,19659370
19659370,155505157
19659370,1014199723031449600
19659370,1168
19659370,598232506
19659370,204297410
27171750,19659370
4874161629,19659370
553436328,19659370
163363440,19659370
19659370,273921060
273921060,19659370
1155634482629791746,19659370
19659370,194399316
92593701,19659370
301037777,19659370
72102865,19659370
19659370,1244079788
19659370,534255106
19659370,110420616
224209816,19659370
19659370,259906731
377983647,19659370
19659370,313140358
19659370,19486877
19659370,327122348
19659370,2540678306
431210487,19659370
1148895885729947648,19659370
3120886937,19659370
19659370,146195370
146195370,19659370
19659370,14707794
19659370,299394773
19659370,1227698863
19659370,14049302
14049302,19659370
19659370,89774258
19659370,134072288
19659370,243479125
19659370,16674284
16674284,19659370
48448084,19659370
19058451,19659370
2752564758,19659370
22132438,19659370
19659370,553729228
19659370,115494880
415798356,19659370
1556357336,19659370
19659370,398092540
19659370,1246201593755660288
19659370,7905122
934851466082357249,19659370
19659370,932582571338321920
932582571338321920,19659370
19659370,47725447
101764664,19659370
743908703863083008,19659370
19659370,1055893919597133824
19659370,92071137
92071137,19659370
49556240,19659370
19659370,82337208
82337208,19659370
3946229836,19659370
3036907250,19659370
1174325520294715392,19659370
3621255616,19659370
19659370,2842839092
822143767,19659370
19659370,8746072
19659370,2320791044
885944485615738881,19659370
19659370,9541832
19659370,305236970
19659370,616219267
616219267,19659370
19659370,57246759
19659370,15056816
19659370,13284672
13284672,19659370
19659370,854581958
19659370,720389270335135745
2989739661,19659370
468825579,19659370
19659370,14208224
14208224,19659370
19659370,58880930
58880930,19659370
19659370,1855871
19659370,605027292
605027292,19659370
354801923,19659370
19659370,224379103
19659370,49976458
19659370,19811190
19659370,262236415
1297170244658552838,19659370
3761306416,19659370
19659370,2859068332
19659370,2455929786
19659370,1728795440
19659370,2236856634
19659370,257618993
470416893,19659370
157238371,19659370
19659370,164233384
19659370,16044272
116897811,19659370
19659370,2178067878
2178067878,19659370
19659370,2249121151
2249121151,19659370
427431943,19659370
